label,notation
Scotland,S92000003
Clackmannanshire,S12000005
Glasgow City,S12000046
Dumfries and Galloway,S12000006
East Ayrshire,S12000008
East Lothian,S12000010
East Renfrewshire,S12000011
Falkirk,S12000014
Fife,S12000015
Highland,S12000017
Inverclyde,S12000018
Midlothian,S12000019
Moray,S12000020
North Ayrshire,S12000021
Orkney Islands,S12000023
Perth and Kinross,S12000024
Scottish Borders,S12000026
Shetland Islands,S12000027
South Ayrshire,S12000028
South Lanarkshire,S12000029
Stirling,S12000030
Aberdeen City,S12000033
Aberdeenshire,S12000034
Argyll and Bute,S12000035
City of Edinburgh,S12000036
Renfrewshire,S12000038
West Dunbartonshire,S12000039
West Lothian,S12000040
Angus,S12000041
Dundee City,S12000042
North Lanarkshire,S12000044
East Dunbartonshire,S12000045
Na h-Eileanan Siar,S12000013
Ayrshire and Arran,S08000015
Western Isles,S08000028
Borders,S08000016
Dumfries and Galloway,S08000017
Fife,S08000018
Forth Valley,S08000019
Grampian,S08000020
Greater Glasgow and Clyde,S08000021
Highland,S08000022
Lanarkshire,S08000023
Lothian,S08000024
Orkney,S08000025
Shetland,S08000026
Tayside,S08000027
Argyll & Bute,S12000035
